price,types,address,latitude,longitude,date,beds,baths,sq.,bath,reception,receptions,bed,total_Beds,total_Baths,total_Receptions,FlatType,index
865000,2 bed flat for sale ,"Pages Walk, London SE1",51.495738,-0.081208,9/2/2021,2,2,840,0,0,0,0,2,2,0,flat,1
750000,3 bed detached house for sale ,"Park Road, Kenley CR8",51.320999,-0.108466,9/2/2021,3,0,0,1,1,0,0,3,1,1,detached house,2
419950,2 bed terraced house for sale ,"Anthony Road, London SE25",51.387405,-0.071903,9/2/2021,2,2,0,0,0,2,0,2,2,2,terraced house,3
1095000,3 bed flat for sale ,"Pages Walk, London SE1",51.495738,-0.081208,9/2/2021,3,2,968,0,0,0,0,3,2,0,flat,4
849995,4 bed semi-detached house for sale ,"Inchmery Road, London SE6",51.440248,-0.013402,9/2/2021,4,0,0,1,0,3,0,4,1,3,semi-detached house,5
3e+05,2 bed flat for sale ,"North Block, The Railstore, Kidman Close, Gidea Park, Romford RM2",51.584796,0.2138,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,6
625000,2 bed flat for sale ,"Holloway Road, London N7",51.550472,-0.109663,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,7
1450000,3 bed flat for sale ,"Netherhall Gardens, Hampstead, London NW3",51.552177,-0.177179,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,8
1750000,4 bed terraced house for sale ,"Offord Road, London N1",51.543645,-0.111717,9/2/2021,4,2,0,0,0,2,0,4,2,2,terraced house,9
465000,2 bed flat for sale ,"Purbrook Estate, Tower Bridge Road, London SE1",51.498665,-0.078751,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,10
525000,2 bed flat for sale ,"Hartington Road, London W4",51.481372,-0.274774,9/2/2021,2,0,589,1,1,0,0,2,1,1,flat,11
550000,3 bed flat for sale ,"Chrisp Street, London E14",51.514668,-0.014592,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,12
7e+05,2 bed flat for sale ,"Deveraux House, Duke Of Wellington Avenue, London SE18",51.4941,0.06686,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,13
1e+06,3 bed end terrace house for sale ,"Maple Grove, London W5",51.501308,-0.303982,9/2/2021,3,2,"1,167",0,0,2,0,3,2,2,end terrace house,14
670000,5 bed property for sale ,"Hawkhurst Way, New Malden KT3",51.396448,-0.269297,9/2/2021,5,2,0,0,0,2,0,5,2,2,property,15
299995,3 bed maisonette for sale ,"Dorrit Mews, Edmonton N18",51.615413,-0.073343,9/2/2021,3,0,0,1,1,0,0,3,1,1,maisonette,16
1175000,3 bed flat for sale ,"College Crescent, London NW3",51.545391,-0.175109,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,17
385000,2 bed flat for sale ,"Charter Court, 65B Bridge Street, Pinner HA5",51.595293,-0.384438,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,18
1100000,3 bed terraced house for sale ,"Derwent, Derby Road, London E9",51.537427,-0.046631,9/2/2021,3,2,872,0,1,0,0,3,2,1,terraced house,19
575000,2 bed flat for sale ,"South Lambeth Road, London SW8",51.479699,-0.123689,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,20
207500,1 bed property for sale ,"Uxbridge Road, Hatch End, Pinner HA5",51.606934,-0.375738,9/2/2021,0,0,0,1,1,0,1,1,1,1,property,21
550000,4 bed semi-detached house for sale ,"Rush Green Road, Romford RM7",51.564399,0.169995,9/2/2021,4,3,0,0,1,0,0,4,3,1,semi-detached house,22
330000,Studio for sale ,"Sailors House, New Aberfeldy Village, 16 Deauville Close E14",51.51287,-0.001802,9/2/2021,0,0,410,1,1,0,0,0,1,1,Studio,23
5e+05,2 bed maisonette for sale ,"Grosvenor Road, Finchley, London N3",51.606623,-0.197077,9/2/2021,2,0,0,1,1,0,0,2,1,1,maisonette,24
370000,3 bed terraced house for sale ,"Upton Road, Thornton Heath CR7",51.408071,-0.095708,9/2/2021,3,2,0,0,0,2,0,3,2,2,terraced house,25
1625000,5 bed detached house for sale ,"Homefield Road, Coulsdon CR5",51.299027,-0.112571,9/2/2021,5,2,0,0,0,3,0,5,2,3,detached house,26
3e+05,Studio for sale ,"Ripon Court, Royal Quay, 9 Dod Street E14",51.5141,-0.0265,9/2/2021,0,0,321,1,1,0,0,0,1,1,Studio,27
425000,1 bed flat for sale ,"Finchley Road, London NW3",51.543773,-0.175531,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,28
675000,2 bed terraced house for sale ,"Ridley Avenue, Ealing W13",51.499963,-0.319651,9/2/2021,2,2,724,0,0,0,0,2,2,0,terraced house,29
425000,3 bed semi-detached house for sale ,"Avenue Road, Erith DA8",51.4748,0.169201,9/2/2021,3,0,0,1,0,2,0,3,1,2,semi-detached house,30
4200000,3 bed flat for sale ,"Warrington Crescent, Little Venice, London W9",51.52548,-0.183816,9/2/2021,3,3,0,0,0,2,0,3,3,2,flat,31
875000,4 bed cottage for sale ,"Woodcote House, Wrythe Green Road, Carshalton SM5",51.371345,-0.168659,9/2/2021,4,0,0,1,0,3,0,4,1,3,cottage,32
2100000,5 bed terraced house for sale ,"Calthorpe Street, London WC1X",51.525904,-0.114175,9/2/2021,5,0,0,1,1,0,0,5,1,1,terraced house,33
280000,1 bed flat for sale ,"High Street, London E15",51.534179,-0.007061,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,34
499950,2 bed flat for sale ,"Florence Road, Finsbury Park, London N4",51.570999,-0.10965,9/2/2021,2,0,507,1,1,0,0,2,1,1,flat,35
1295000,2 bed flat for sale ,"Seymour Walk, Chelsea, London SW10",51.4856,-0.1819,9/2/2021,2,2,937,0,1,0,0,2,2,1,flat,36
850000,5 bed semi-detached house for sale ,"Pollards Hill North, Norbury SW16",51.404156,-0.122773,9/2/2021,5,2,0,0,0,0,0,5,2,0,semi-detached house,37
3e+05,1 bed flat for sale ,"Gifford Gardens, London W7",51.52293,-0.344969,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,38
2650000,2 bed flat for sale ,"Wimpole Street, Marylebone, London W1G",51.5195,-0.1486,9/2/2021,2,2,"1,597",0,1,0,0,2,2,1,flat,39
750000,3 bed semi-detached house for sale ,"Moorcroft Way, Pinner HA5",51.586167,-0.38462,9/2/2021,3,0,0,1,0,2,0,3,1,2,semi-detached house,40
895000,5 bed terraced house for sale ,"St Albans Road, Woodford Green, Essex IG8",51.600927,0.021322,9/2/2021,5,2,0,0,0,0,0,5,2,0,terraced house,41
5e+05,3 bed terraced house for sale ,"Dorchester Avenue, Palmers Green, London N13",51.619032,-0.092624,9/2/2021,3,0,0,1,1,0,0,3,1,1,terraced house,42
375000,1 bed flat for sale ,"Hastings Road, London W13",51.513251,-0.314901,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,43
1200000,3 bed terraced house for sale ,"Engadine Street, London SW18",51.44448,-0.202638,9/2/2021,3,3,0,0,0,2,0,3,3,2,terraced house,44
5e+05,1 bed flat for sale ,"Gatliff Road, London SW1W",51.487207,-0.148358,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,45
125000,1 bed flat for sale ,"Gatliff Road, London SW1W",51.487207,-0.148358,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,46
1250000,2 bed flat for sale ,"Ladbroke Road, London W11",51.507548,-0.206975,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,47
6e+05,4 bed semi-detached house for sale ,"Littleheath Road, Selsdon, South Croydon CR2",51.345871,-0.062669,9/2/2021,4,0,"1,361",1,0,2,0,4,1,2,semi-detached house,48
3950000,3 bed flat for sale ,"Queen Anne's Gate, Westminster, London SW1H",51.500872,-0.132372,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,49
6e+05,2 bed semi-detached house for sale ,"Marlton Street, London SE10",51.486611,0.013157,9/2/2021,2,0,0,1,1,0,0,2,1,1,semi-detached house,50
4e+05,1 bed flat for sale ,"Signia Court, Wembley Hill Road, Wembley, Middlesex HA9",51.555883,-0.286447,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,51
489950,2 bed flat for sale ,"Cecil Close, Mount Avenue, London W5",51.524281,-0.302247,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,52
750000,3 bed flat for sale ,"Landward Court, Marylebone, London W1H",51.5172,-0.165112,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,53
550000,2 bed flat for sale ,"Compton Road, Winchmore Hill N21",51.632083,-0.098534,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,54
999950,5 bed detached house for sale ,"Cunningham Park, Harrow HA1",51.587723,-0.345769,9/2/2021,5,2,0,0,0,3,0,5,2,3,detached house,55
750000,4 bed terraced house for sale ,"Lower Richmond Road, Richmond, Surrey TW9",51.467894,-0.28164,9/2/2021,4,2,0,0,0,2,0,4,2,2,terraced house,56
9e+05,2 bed mews house for sale ,"Blake Mews, Kew, Richmond, Surrey TW9",51.476182,-0.285735,9/2/2021,2,2,0,0,0,2,0,2,2,2,mews house,57
820000,3 bed terraced house for sale ,"Winters Road, Thames Ditton KT7",51.389717,-0.32296,9/2/2021,3,3,0,0,0,2,0,3,3,2,terraced house,58
340000,2 bed flat for sale ,"Lyonsdown Road, Barnet EN5",51.644899,-0.178265,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,59
4e+05,2 bed flat for sale ,"Coppetts Road, London N10",51.604291,-0.15554,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,60
595000,3 bed flat for sale ,"Signia Court, Wembley Hill Road, Wembley, Middlesex HA9",51.555883,-0.286447,9/2/2021,3,0,0,1,1,0,0,3,1,1,flat,61
350000,Studio for sale ,"Filmer Road, London SW6",51.479768,-0.207349,9/2/2021,0,0,0,1,1,0,0,0,1,1,Studio,62
1400000,2 bed flat for sale ,"Harcourt Terrace, London SW10",51.487737,-0.186463,9/2/2021,2,0,0,1,0,0,0,2,1,0,flat,63
8e+05,2 bed flat for sale ,"St. George Wharf, London SW8",51.485704,-0.125117,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,64
310000,1 bed flat for sale ,"Homerton High Street, Hackney E9",51.54781,-0.045571,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,65
1150000,7 bed semi-detached house for sale ,"Westbrook Road, Heston, Hounslow TW5",51.483508,-0.377074,9/2/2021,7,3,0,0,1,0,0,7,3,1,semi-detached house,66
1500000,3 bed end terrace house for sale ,"Rotherfield Street, Islington, London N1",51.540295,-0.092688,9/2/2021,3,2,0,0,0,2,0,3,2,2,end terrace house,67
399950,1 bed flat for sale ,"Cumberland Mills Square, London E14",51.487789,-0.005776,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,68
725000,2 bed maisonette for sale ,"Brandlehow Road, London SW15",51.461379,-0.207417,9/2/2021,2,2,0,0,1,0,0,2,2,1,maisonette,69
475000,3 bed terraced house for sale ,"Dirdene Gardens, Epsom KT17",51.337402,-0.25659,9/2/2021,3,0,0,1,0,2,0,3,1,2,terraced house,70
399950,2 bed flat for sale ,"Lapford Close, London W9",51.527031,-0.202144,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,71
599950,3 bed semi-detached house for sale ,"Addington Road, West Wickham BR4",51.369653,-0.00429,9/2/2021,3,0,0,1,0,2,0,3,1,2,semi-detached house,72
675000,3 bed terraced house for sale ,"Olive Road, London W5",51.499591,-0.303774,9/2/2021,3,2,0,0,1,0,0,3,2,1,terraced house,73
384950,1 bed flat for sale ,"Rommany Road, London SE27",51.427765,-0.089063,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,74
1395000,3 bed flat for sale ,"Hilary Mews, London SE1",51.50179,-0.093073,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,75
564950,3 bed semi-detached house for sale ,"Coldharbour Lane, Hayes, Greater London UB3",51.513129,-0.411886,9/2/2021,3,2,0,0,0,2,0,3,2,2,semi-detached house,76
695000,2 bed flat for sale ,"Christchurch Avenue, Brondesbury NW6",51.544477,-0.209056,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,77
8e+05,4 bed semi-detached house for sale ,"Broomfield Road, Bexleyheath, Kent DA6",51.451372,0.15,9/2/2021,4,0,0,1,0,2,0,4,1,2,semi-detached house,78
425000,1 bed flat for sale ,"7 Lyell Street, Meade House, London City Island E14",51.512486,0.005958,9/2/2021,0,0,0,1,0,0,1,1,1,0,flat,79
725000,3 bed end terrace house for sale ,"Cottingham Road, London SE20",51.41407,-0.049298,9/2/2021,3,0,0,1,1,0,0,3,1,1,end terrace house,80
447170,2 bed maisonette for sale ,"Kiln Place, London NW5",51.553442,-0.151135,9/2/2021,2,0,0,1,1,0,0,2,1,1,maisonette,81
799999,Studio for sale ,"Grosvenor Avenue, London N5",51.549498,-0.088656,9/2/2021,0,0,0,0,0,0,0,0,0,0,Studio,82
1300000,2 bed flat for sale ,"Crown Lodge, Elystan Street SW3",51.491753,-0.167764,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,83
999950,5 bed terraced house for sale ,"Boaters Avenue, Brentford TW8",51.484084,-0.313679,9/2/2021,5,3,0,0,1,0,0,5,3,1,terraced house,84
425000,1 bed flat for sale ,"Hazellville Road, London N19",51.573007,-0.130877,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,85
1200000,3 bed flat for sale ,"Arkwright Road, Hampstead, London NW3",51.551182,-0.182022,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,86
148000,Studio for sale ,"Caledonian Road, Islington, London N1",51.540143,-0.116676,9/2/2021,0,0,0,1,1,0,0,0,1,1,Studio,87
625000,4 bed semi-detached house for sale ,"Barmor Close, Harrow HA2",51.600647,-0.356902,9/2/2021,4,0,0,1,0,2,0,4,1,2,semi-detached house,88
3e+06,7 bed semi-detached house for sale ,"Lessar Avenue, London SW4",51.454724,-0.143885,9/2/2021,7,0,"3,488",0,0,0,0,7,0,0,semi-detached house,89
575000,3 bed end terrace house for sale ,"Chatsworth Avenue, Wembley HA9",51.552363,-0.286643,9/2/2021,3,0,0,1,0,2,0,3,1,2,end terrace house,90
8e+05,4 bed terraced house for sale ,"Laburnum Road, London SW19",51.417272,-0.183529,9/2/2021,4,2,0,0,0,2,0,4,2,2,terraced house,91
1100000,1 bed flat for sale ,"Gloucester Walk, London W8",51.504808,-0.194848,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,92
399950,2 bed maisonette for sale ,"Henley Close, Isleworth TW7",51.476013,-0.335432,9/2/2021,2,0,0,1,1,0,0,2,1,1,maisonette,93
475000,3 bed end terrace house for sale ,"Waddon Road, Croydon, Surrey CR0",51.371244,-0.116161,9/2/2021,3,0,0,1,0,2,0,3,1,2,end terrace house,94
550000,3 bed semi-detached house for sale ,"Hook Road, Epsom KT19",51.342006,-0.26921,9/2/2021,3,2,0,0,0,2,0,3,2,2,semi-detached house,95
3e+05,3 bed terraced house for sale ,"101 Halstead Road, Winchmore Hill, London N21",51.631042,-0.087818,9/2/2021,3,0,0,0,0,0,0,3,0,0,terraced house,96
450000,4 bed terraced house for sale ,"Rugby Road, Dagenham RM9",51.540004,0.118721,9/2/2021,4,0,0,1,1,0,0,4,1,1,terraced house,97
340000,1 bed flat for sale ,"Derbyshire Street, London E2",51.526687,-0.061538,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,98
370000,1 bed flat for sale ,"Coutts Crescent, St. Albans Road, London NW5",51.547725,-0.153693,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,99
385000,1 bed flat for sale ,"Whitestile Road, Brentford TW8",51.494207,-0.305826,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,100
0,3 bed flat for sale ,"City Road, London EC1V",51.529985,-0.097296878,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,101
625000,3 bed semi-detached house for sale ,"St. Stephen's Road, Hounslow, Semi-Detached House TW3",51.45907,-0.368339,9/2/2021,3,2,0,0,0,2,0,3,2,2,semi-detached house,102
724950,6 bed end terrace house for sale ,"Bedser Drive, Greenford / Sudbury Hill Borders UB6",51.555078,-0.344985,9/2/2021,6,3,0,0,1,0,0,6,3,1,end terrace house,103
240000,2 bed flat for sale ,"Strongbow Crescent, London SE9",51.454498,0.053124,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,104
6e+05,1 bed flat for sale ,"Marchmont Street, London WC1N",51.525814,-0.125405,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,105
785000,3 bed property for sale ,"Olinda Road, London N16",51.57579,-0.068282,9/2/2021,3,0,0,1,1,0,0,3,1,1,property,106
375000,4 bed maisonette for sale ,"Lindley Estate, London SE15",51.479025,-0.068847,9/2/2021,4,0,0,1,1,0,0,4,1,1,maisonette,107
650000,2 bed flat for sale ,"Gunnersbury Avenue, Ealing W5",51.507506,-0.290914,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,108
295000,2 bed flat for sale ,"Croydon Road, Beckenham BR3",51.405766,-0.03343,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,109
650000,3 bed detached house for sale ,"Craigerne Road, London SE3",51.478238,0.023647,9/2/2021,3,2,0,0,1,0,0,3,2,1,detached house,110
6e+05,5 bed terraced house for sale ,"Green Lane, Ilford IG3",51.56195,0.102978,9/2/2021,5,3,0,0,0,3,0,5,3,3,terraced house,111
4200000,3 bed flat for sale ,"Warrington Crescent, London W9",51.52548,-0.183815,9/2/2021,3,3,"2,027",0,1,0,0,3,3,1,flat,112
550000,2 bed property for sale ,"Winslow Close, Eastcote, Pinner HA5",51.581638,-0.400217,9/2/2021,2,2,0,0,1,0,0,2,2,1,property,113
4e+05,3 bed terraced house for sale ,"Elizabeth Ride, Edmonton N9",51.635082,-0.051799,9/2/2021,3,0,0,1,0,2,0,3,1,2,terraced house,114
850000,4 bed detached house for sale ,"Douglas Road, Surbiton KT6",51.3787,-0.295771,9/2/2021,4,2,0,0,0,2,0,4,2,2,detached house,115
